UserName,ScreenName,Location,TweetAt,OriginalTweet,Sentiment,,,,
3799,48751,London,16-03-2020,@MeNyrbie @Phil_Gahan @Chrisitv https://t.co/iFz9FAn2Pa and https://t.co/xX6ghGFzCC and https://t.co/I2NlzdxNo8,Neutral,,,,
3800,48752,UK,16-03-2020,advice Talk to your neighbours family to exchange phone numbers create contact list with phone numbers of neighbours schools employer chemist GP set up online shopping accounts if poss adequate supplies of regular meds but not over order,Positive,,,,
3801,48753,Vagabonds,16-03-2020,"Coronavirus Australia: Woolworths to give elderly, disabled dedicated shopping hours amid COVID-19 outbreak https://t.co/bInCA9Vp8P",Positive,,,,
3802,48754,,16-03-2020,"My food stock is not the only one which is empty...



PLEASE, don't panic, THERE WILL BE ENOUGH FOOD FOR EVERYONE if you do not take more than you need. 

Stay calm, stay safe.



#COVID19france #COVID_19 #COVID19 #coronavirus #confinement #Confinementotal #ConfinementGeneral https://t.co/zrlG0Z520j",Positive,,,,
3803,48755,,16-03-2020,"Me, ready to go at supermarket during the #COVID19 outbreak.



Not because I'm paranoid, but because my food stock is litteraly empty. The #coronavirus is a serious thing, but please, don't panic. It causes shortage...



#CoronavirusFrance #restezchezvous #StayAtHome #confinement https://t.co/usmuaLq72n",Extremely Negative,,,,
3804,48756,"ÜT: 36.319708,-82.363649",16-03-2020,"As news of the regions first confirmed COVID-19 case came out of Sullivan County last week, people flocked to area stores to purchase cleaning supplies, hand sanitizer, food, toilet paper and other goods, @Tim_Dodson reports https://t.co/cfXch7a2lU",Positive,,,,
3805,48757,"35.926541,-78.753267",16-03-2020,"Cashier at grocery store was sharing his insights on #Covid_19 To prove his credibility he commented ""I'm in Civics class so I know what I'm talking about"". https://t.co/ieFDNeHgDO",Positive,,,,
3806,48758,Austria,16-03-2020,"Was at the supermarket today. Didn't buy toilet paper. #Rebel



#toiletpapercrisis #covid_19 https://t.co/eVXkQLIdAZ",Neutral,,,,
3807,48759,"Atlanta, GA USA",16-03-2020,"Due to COVID-19 our retail store and classroom in Atlanta will not be open for walk-in business or classes for the next two weeks, beginning Monday, March 16.  We will continue to process online and phone orders as normal! Thank you for your understanding! https://t.co/kw91zJ5O5i",Positive,,,,
3808,48760,"BHAVNAGAR,GUJRAT",16-03-2020,"For corona prevention,we should stop to buy things with the cash and should use online payment methods because corona can spread through the notes. Also we should prefer online shopping from our home. It's time to fight against COVID 19?. #govindia #IndiaFightsCorona",Negative,,,,
3809,48761,"Makati, Manila",16-03-2020,"All month there hasn't been crowding in the supermarkets or restaurants, however reducing all the hours and closing the malls means everyone is now using the same entrance and dependent on a single supermarket. #manila #lockdown #covid2019 #Philippines https://t.co/HxWs9LAnF9",Neutral,,,,
3810,48762,"Pitt Meadows, BC, Canada ",16-03-2020,"Due to the Covid-19 situation, we have increased demand for all food products. 



The wait time may be longer for all online orders, particularly beef share and freezer packs. 



We thank you for your patience during this time.",Extremely Positive,,,,
3811,48763,Horningsea,16-03-2020,"#horningsea is a caring community. Lets ALL look after the less capable in our village and ensure they stay healthy. Bringing shopping to their doors, help with online shopping and self isolation if you have symptoms or been exposed to somebody who has. https://t.co/lsGrXXhjhh",Extremely Positive,,,,
3812,48764,"Chicago, IL",16-03-2020,"Me: I don't need to stock up on food, I'll just have Amazon deliver whatever I need #CoronaVirus



Amazon: https://t.co/8YWaKFjExC",Positive,,,,
3813,48765,,16-03-2020,ADARA Releases COVID-19 Resource Center for Travel Brands: Insights Help Travel Brands Stay Up-To-Date on Consumer Travel Behavior Trends https://t.co/PnA797jDKV https://t.co/dQox6uSihz,Positive,,,,
3814,48766,"Houston, Texas",16-03-2020,"Lines at the grocery store have been unpredictable, but is eating out a safe alternative? 



Find out more about whether you should be avoiding restaurants right now:  https://t.co/9idZSis5oQ



#coronavirus #covid19 https://t.co/ZHbh898lf6",Positive,,,,
3816,48768,"Ontario, Canada",16-03-2020,"@eyeonthearctic 16MAR20 Russia consumer surveillance watchdog reported case in high Arctic where a man who traveled to Iran has COVID-19 and 101 are ""observed""

https://t.co/4WnrrK9oKC https://t.co/ld05k5Eyns",Neutral,,,,
